epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,156.589,1.10386,0.95517,1.20702,0.52792,0.44028,0.41328,0.17239,2.47625,2.46728,2.42424,0.00122185,0.00122185,0.00122185
43,159.999,1.11243,0.92452,1.20169,0.52709,0.2823,0.3264,0.13229,2.44586,2.48581,2.37651,0.00121679,0.00121679,0.00121679
44,163.419,1.02125,0.89151,1.18735,0.55567,0.27273,0.2599,0.09796,2.77855,3.19932,2.57173,0.00121174,0.00121174,0.00121174
45,166.786,1.14229,1.18794,1.2492,0.52788,0.21212,0.21864,0.08397,2.84012,3.4286,2.71496,0.00120669,0.00120669,0.00120669
46,170.159,1.10433,1.02871,1.20451,0.32506,0.3429,0.25008,0.07248,2.76979,3.17583,2.75687,0.00120164,0.00120164,0.00120164
47,173.529,1.03747,1.00534,1.20228,0.2591,0.30424,0.22785,0.05864,2.95417,3.46182,3.14206,0.00119658,0.00119658,0.00119658
48,176.885,1.12255,1.08408,1.20216,0.43293,0.29506,0.29109,0.09942,2.7637,2.98633,2.71755,0.00119153,0.00119153,0.00119153
49,180.281,1.0519,0.98431,1.18251,0.23295,0.27751,0.16118,0.05515,2.54558,2.82291,2.44367,0.00118648,0.00118648,0.00118648
50,183.675,1.06376,0.93966,1.16974,0.73227,0.36364,0.39202,0.12843,2.5406,2.27234,2.38656,0.00118143,0.00118143,0.00118143
51,187.04,1.0565,0.85677,1.14928,0.32967,0.40351,0.29171,0.09493,2.84239,2.40432,2.67637,0.00117637,0.00117637,0.00117637
52,190.436,1.05783,0.90926,1.15955,0.46046,0.26234,0.28262,0.12586,2.93722,2.63368,2.83351,0.00117132,0.00117132,0.00117132
53,193.806,1.05035,0.99116,1.19345,0.60721,0.38486,0.41696,0.1861,2.63616,2.11291,2.4604,0.00116627,0.00116627,0.00116627
54,197.24,1.00957,0.84941,1.15755,0.4845,0.3429,0.33764,0.15619,2.65367,2.40158,2.48072,0.00116122,0.00116122,0.00116122
55,200.57,1.03877,0.85238,1.16876,0.69879,0.1866,0.19715,0.07401,2.74272,3.01331,2.62271,0.00115616,0.00115616,0.00115616
56,203.957,1.00553,0.80199,1.16888,0.4267,0.32536,0.25547,0.10384,2.69976,2.66979,2.5429,0.00115111,0.00115111,0.00115111
57,207.332,1.08322,0.92325,1.2042,0.85261,0.24721,0.2388,0.08499,2.52066,2.85174,2.47712,0.00114606,0.00114606,0.00114606
58,210.681,0.97935,0.88587,1.15433,0.79454,0.29506,0.32029,0.15598,2.51337,2.85785,2.47128,0.00114101,0.00114101,0.00114101
59,214.095,0.99516,0.84508,1.16073,0.33209,0.33456,0.25172,0.09036,2.60693,3.01038,2.41212,0.00113595,0.00113595,0.00113595
60,217.497,1.02873,0.84919,1.13997,0.51138,0.3862,0.37074,0.13131,2.55935,2.73113,2.3493,0.0011309,0.0011309,0.0011309
61,220.861,0.98449,0.79876,1.13077,0.30456,0.35566,0.24066,0.09099,2.7132,3.2347,2.60549,0.00112585,0.00112585,0.00112585
62,224.216,0.9972,0.79943,1.14437,0.41095,0.39075,0.30192,0.1026,2.66551,2.85976,2.3917,0.0011208,0.0011208,0.0011208
