epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,104.663,1.03042,0.95466,1.14665,0.61928,0.2823,0.32914,0.12749,2.52835,2.74495,2.34398,0.00119699,0.00119699,0.00119699
43,106.814,1.04715,0.93916,1.12553,0.64449,0.42105,0.43082,0.20454,2.51189,2.21752,2.30785,0.00119133,0.00119133,0.00119133
44,109.031,0.96572,0.88504,1.11868,0.41875,0.26511,0.25035,0.11053,2.57493,3.02495,2.68986,0.00118567,0.00118567,0.00118567
45,111.275,1.07679,0.98677,1.1856,0.44148,0.42342,0.40094,0.14872,2.60023,2.35215,2.52386,0.00118001,0.00118001,0.00118001
46,113.422,1.04705,0.93586,1.13384,0.42425,0.39379,0.34549,0.12153,2.57535,2.45679,2.37072,0.00117435,0.00117435,0.00117435
47,115.576,0.99562,0.95271,1.11681,0.69464,0.33493,0.37607,0.13402,2.47199,2.53766,2.23599,0.00116869,0.00116869,0.00116869
48,117.744,0.99124,0.89594,1.08706,0.53828,0.43559,0.38095,0.15832,2.45925,2.18264,2.24056,0.00116303,0.00116303,0.00116303
49,119.885,0.97668,0.89786,1.11303,0.53495,0.48166,0.43015,0.15011,2.39905,2.03054,2.26927,0.00115738,0.00115738,0.00115738
50,121.999,1.0453,0.91488,1.1293,0.36744,0.43663,0.41369,0.16275,2.50999,2.14357,2.39296,0.00115172,0.00115172,0.00115172
51,124.119,1.00273,0.89319,1.09624,0.57091,0.46233,0.43077,0.15231,2.57821,2.25397,2.61836,0.00114606,0.00114606,0.00114606
52,126.255,1.01327,0.9427,1.11439,0.62364,0.53429,0.49503,0.20037,2.37224,2.07353,2.38003,0.0011404,0.0011404,0.0011404
53,128.395,0.98249,0.98413,1.11762,0.65857,0.3429,0.40366,0.17982,2.41815,2.19117,2.36374,0.00113474,0.00113474,0.00113474
54,130.552,0.96597,0.94062,1.10248,0.87552,0.41272,0.50309,0.21651,2.42406,2.06302,2.34163,0.00112908,0.00112908,0.00112908
55,132.663,0.94337,0.86592,1.08813,0.53208,0.25199,0.31408,0.15214,2.50383,2.33047,2.35815,0.00112342,0.00112342,0.00112342
56,134.797,0.95434,0.80722,1.08477,0.52586,0.45608,0.40159,0.1597,2.60032,2.293,2.3401,0.00111776,0.00111776,0.00111776
57,136.969,1.04884,0.90889,1.13636,0.68209,0.43649,0.45232,0.16804,2.6245,2.20962,2.33631,0.0011121,0.0011121,0.0011121
58,139.071,0.94929,0.90009,1.10434,0.54941,0.42105,0.43452,0.14443,2.65832,2.28514,2.37892,0.00110645,0.00110645,0.00110645
59,141.32,0.9739,0.86718,1.10756,0.32113,0.33493,0.32089,0.12545,2.54257,2.27638,2.42796,0.00110079,0.00110079,0.00110079
60,143.536,0.97964,0.89577,1.11522,0.88651,0.21087,0.32119,0.13542,2.60938,2.04209,2.56517,0.00109513,0.00109513,0.00109513
61,145.696,0.95801,0.84761,1.09951,0.40209,0.35536,0.36177,0.16467,2.4919,2.05247,2.44196,0.00108947,0.00108947,0.00108947
62,147.822,0.98555,0.84963,1.12275,0.55755,0.4386,0.41347,0.16257,2.51651,2.09262,2.3968,0.00108381,0.00108381,0.00108381
63,149.994,0.95942,0.91711,1.10674,0.595,0.35363,0.36464,0.14147,2.57181,2.41547,2.40678,0.00107815,0.00107815,0.00107815
64,152.195,0.97499,0.87943,1.07768,0.6349,0.25199,0.34014,0.14054,2.56888,2.36344,2.36213,0.00107249,0.00107249,0.00107249
65,154.354,1.00395,0.88557,1.11218,0.70539,0.28708,0.27265,0.10267,2.51843,2.65629,2.25848,0.00106683,0.00106683,0.00106683
66,156.532,0.82837,0.75134,1.04177,0.80247,0.4191,0.482,0.2135,2.44452,1.87624,2.13631,0.00106118,0.00106118,0.00106118
67,158.662,0.91003,0.80228,1.0441,0.57872,0.4689,0.46156,0.20962,2.40332,2.00522,2.21251,0.00105552,0.00105552,0.00105552
68,160.852,0.95169,0.79115,1.09692,0.68924,0.35933,0.38208,0.16335,2.50517,2.70653,2.38857,0.00104986,0.00104986,0.00104986
69,163.05,0.99921,0.83801,1.09826,0.65852,0.3016,0.31211,0.12194,2.52771,2.85347,2.49737,0.0010442,0.0010442,0.0010442
70,165.214,0.97287,0.85663,1.10891,0.27998,0.32167,0.26553,0.11633,2.36375,2.82779,2.35077,0.00103854,0.00103854,0.00103854
71,167.402,0.92185,0.81139,1.07432,0.44145,0.34765,0.29923,0.12955,2.53139,2.66802,2.50909,0.00103288,0.00103288,0.00103288
72,169.551,0.96298,0.79117,1.11584,0.63364,0.36045,0.38251,0.16168,2.45858,2.143,2.39731,0.00102722,0.00102722,0.00102722
73,171.703,0.81435,0.67506,1.0289,0.81693,0.35815,0.40945,0.17191,2.36267,2.39723,2.22083,0.00102156,0.00102156,0.00102156
74,173.954,0.86588,0.77581,1.06085,0.45125,0.34569,0.28321,0.13774,2.34277,2.36611,2.2795,0.0010159,0.0010159,0.0010159
75,176.154,0.92998,0.8269,1.10615,0.46341,0.44185,0.38166,0.1787,2.4477,1.98421,2.32429,0.00101025,0.00101025,0.00101025
76,178.297,0.94564,0.7697,1.06152,0.48123,0.3429,0.31719,0.13668,2.46594,2.35395,2.33747,0.00100459,0.00100459,0.00100459
77,180.464,0.88995,0.79864,1.07387,0.69006,0.22933,0.22129,0.08113,2.65546,2.9539,2.5962,0.000998928,0.000998928,0.000998928
78,182.599,0.94273,0.81822,1.08125,0.6199,0.33014,0.30962,0.11521,2.64047,2.77593,2.55809,0.000993269,0.000993269,0.000993269
79,184.756,0.8365,0.71877,1.03486,0.66647,0.45601,0.41722,0.18155,2.55068,2.34097,2.37402,0.00098761,0.00098761,0.00098761
80,186.929,0.92696,0.76684,1.06979,0.55025,0.52632,0.38174,0.17704,2.42924,2.34782,2.30629,0.000981952,0.000981952,0.000981952
81,189.095,0.85779,0.70536,1.04077,0.5397,0.44338,0.4127,0.1963,2.43683,2.22107,2.21331,0.000976293,0.000976293,0.000976293
82,191.267,0.85681,0.74466,1.0308,0.56421,0.53907,0.48747,0.21936,2.32533,1.87435,2.09962,0.000970634,0.000970634,0.000970634
83,193.448,0.85883,0.72174,1.05813,0.44464,0.37485,0.34577,0.14655,2.3731,2.41141,2.2491,0.000964975,0.000964975,0.000964975
84,195.628,0.92205,0.81404,1.0919,0.58962,0.29027,0.35854,0.17419,2.37092,2.35524,2.2927,0.000959316,0.000959316,0.000959316
85,197.784,0.86842,0.7441,1.05891,0.3566,0.50005,0.41711,0.17367,2.34847,2.41143,2.28804,0.000953657,0.000953657,0.000953657
86,199.929,0.86361,0.74023,1.05226,0.49584,0.41602,0.36283,0.14344,2.44945,2.37745,2.40914,0.000947999,0.000947999,0.000947999
87,202.125,0.85362,0.73957,1.04485,0.43865,0.42248,0.35654,0.1359,2.57134,2.44151,2.49844,0.00094234,0.00094234,0.00094234
88,204.294,0.94543,0.81768,1.07238,0.468,0.38596,0.37492,0.16009,2.63962,2.3458,2.42373,0.000936681,0.000936681,0.000936681
89,206.703,0.91463,0.72582,1.03939,0.44533,0.3634,0.33845,0.17399,2.64515,2.30183,2.39566,0.000931022,0.000931022,0.000931022
90,208.88,0.9055,0.76524,1.07697,0.45682,0.46121,0.43935,0.21065,2.43167,2.02365,2.17152,0.000925363,0.000925363,0.000925363
91,211.036,0.85934,0.67665,1.03492,0.57192,0.41364,0.47706,0.2423,2.48689,1.97928,2.26279,0.000919704,0.000919704,0.000919704
92,213.23,0.85532,0.75107,1.0466,0.75543,0.43381,0.459,0.24409,2.38956,2.03932,2.22996,0.000914046,0.000914046,0.000914046
93,215.446,0.8831,0.70686,1.08106,0.65646,0.40263,0.43058,0.18854,2.53826,2.2081,2.37494,0.000908387,0.000908387,0.000908387
94,217.591,0.87336,0.72277,1.05464,0.86274,0.41627,0.4597,0.18189,2.57677,2.10242,2.45404,0.000902728,0.000902728,0.000902728
95,219.751,0.83805,0.66617,1.03261,0.57929,0.51957,0.49576,0.21135,2.4425,1.96139,2.38416,0.000897069,0.000897069,0.000897069
96,221.888,0.88325,0.72795,1.04767,0.7065,0.45222,0.49965,0.19531,2.50597,1.95419,2.34057,0.00089141,0.00089141,0.00089141
97,224.063,0.82509,0.66671,1.02253,0.62527,0.46098,0.44733,0.18663,2.47875,2.11864,2.4097,0.000885751,0.000885751,0.000885751
98,226.228,0.80967,0.65511,1.02178,0.41083,0.41005,0.3663,0.13767,2.5826,2.36024,2.51828,0.000880093,0.000880093,0.000880093
99,228.355,0.89174,0.70663,1.05739,0.5296,0.45286,0.421,0.17163,2.49358,2.30671,2.41143,0.000874434,0.000874434,0.000874434
100,230.555,0.82065,0.66042,1.01309,0.44761,0.34234,0.37535,0.15672,2.43475,2.18107,2.33452,0.000868775,0.000868775,0.000868775
101,232.705,0.76911,0.68515,0.9954,0.57865,0.43595,0.41526,0.16889,2.48831,2.12063,2.37953,0.000863116,0.000863116,0.000863116
102,234.868,0.84846,0.72559,1.05121,0.63904,0.4992,0.52448,0.2255,2.43847,1.75916,2.33239,0.000857457,0.000857457,0.000857457
103,237.087,0.81371,0.64816,1.01888,0.63408,0.45546,0.48929,0.21835,2.53684,1.87742,2.39029,0.000851798,0.000851798,0.000851798
104,239.368,0.78299,0.60703,1.00643,0.6802,0.48166,0.49785,0.21662,2.48707,1.92945,2.34891,0.000846139,0.000846139,0.000846139
105,241.485,0.84256,0.66492,1.06597,0.75312,0.42528,0.49038,0.23046,2.45582,1.83975,2.33523,0.000840481,0.000840481,0.000840481
106,243.622,0.80053,0.60357,1.02113,0.7599,0.47697,0.55172,0.22611,2.4853,1.82653,2.2032,0.000834822,0.000834822,0.000834822
107,245.76,0.80643,0.65224,1.03608,0.54429,0.45136,0.52899,0.23133,2.50249,1.94242,2.19299,0.000829163,0.000829163,0.000829163
108,247.913,0.78223,0.62383,1.00907,0.77775,0.35566,0.43297,0.19948,2.53326,2.31036,2.25744,0.000823504,0.000823504,0.000823504
109,250.073,0.84445,0.66196,1.04844,0.63517,0.34769,0.3854,0.15915,2.51463,2.32101,2.27621,0.000817845,0.000817845,0.000817845
110,252.205,0.78824,0.67149,1.019,0.71417,0.38278,0.45393,0.18354,2.56286,2.01192,2.3095,0.000812186,0.000812186,0.000812186
111,254.33,0.78848,0.6309,0.99843,0.61901,0.45941,0.49269,0.1972,2.57098,2.09083,2.42942,0.000806528,0.000806528,0.000806528
112,256.546,0.80649,0.62425,1.02005,0.54535,0.47368,0.44671,0.2158,2.49092,2.22505,2.30212,0.000800869,0.000800869,0.000800869
113,258.674,0.80063,0.69651,1.02713,0.66101,0.42024,0.43522,0.1931,2.38422,2.20211,2.26919,0.00079521,0.00079521,0.00079521
114,260.804,0.79453,0.65197,1.01743,0.49048,0.46137,0.45245,0.17187,2.43798,2.22474,2.33964,0.000789551,0.000789551,0.000789551
115,262.976,0.84362,0.68021,1.03222,0.50551,0.48144,0.44027,0.18509,2.52077,2.07729,2.3564,0.000783892,0.000783892,0.000783892
116,265.104,0.87037,0.67026,1.05872,0.65477,0.47411,0.41903,0.15316,2.64826,2.15664,2.43584,0.000778233,0.000778233,0.000778233
117,267.29,0.77298,0.60347,0.99636,0.51993,0.4386,0.3817,0.16592,2.53285,2.14955,2.32029,0.000772575,0.000772575,0.000772575
118,269.509,0.77674,0.66341,1.02304,0.62285,0.39075,0.44617,0.18637,2.41068,2.0758,2.14809,0.000766916,0.000766916,0.000766916
119,271.736,0.72125,0.61902,0.99993,0.60918,0.40691,0.40153,0.17437,2.36152,2.20716,2.10786,0.000761257,0.000761257,0.000761257
120,273.881,0.78043,0.61608,0.99006,0.61559,0.3126,0.38468,0.16919,2.48728,2.27403,2.16902,0.000755598,0.000755598,0.000755598
121,276.047,0.73576,0.62218,0.99664,0.58202,0.3429,0.38163,0.1836,2.49846,2.45411,2.24482,0.000749939,0.000749939,0.000749939
122,278.182,0.7249,0.6101,0.99346,0.58893,0.38596,0.38074,0.18291,2.45385,2.42554,2.20753,0.00074428,0.00074428,0.00074428
123,280.306,0.73618,0.57828,0.9846,0.71661,0.40351,0.40019,0.19918,2.56966,2.098,2.30708,0.000738622,0.000738622,0.000738622
124,282.424,0.74463,0.5927,0.9913,0.69052,0.4689,0.47509,0.21713,2.47663,1.86927,2.18257,0.000732963,0.000732963,0.000732963
125,284.609,0.77121,0.60605,1.00474,0.80825,0.4386,0.47959,0.22637,2.48812,1.69838,2.21055,0.000727304,0.000727304,0.000727304
126,286.753,0.73782,0.58708,0.98473,0.89286,0.48166,0.53002,0.23427,2.4831,1.75819,2.26526,0.000721645,0.000721645,0.000721645
127,288.897,0.75893,0.58051,1.00262,0.90436,0.50919,0.57029,0.24616,2.41878,1.737,2.21647,0.000715986,0.000715986,0.000715986
128,291.054,0.74303,0.58161,0.99779,0.66937,0.51401,0.51579,0.25372,2.38274,1.68938,2.10096,0.000710327,0.000710327,0.000710327
129,293.195,0.76659,0.59036,1.00069,0.64024,0.51632,0.52833,0.24285,2.45176,1.64491,2.18988,0.000704668,0.000704668,0.000704668
130,295.336,0.82013,0.70404,1.02403,0.51272,0.57341,0.4894,0.23761,2.33334,1.59201,2.12044,0.00069901,0.00069901,0.00069901
131,297.505,0.7171,0.62339,0.98018,0.53902,0.48913,0.46254,0.22555,2.35455,1.73325,2.17827,0.000693351,0.000693351,0.000693351
132,299.685,0.8057,0.66461,1.02706,0.79667,0.44822,0.5011,0.22241,2.34323,1.73459,2.11641,0.000687692,0.000687692,0.000687692
133,301.931,0.76455,0.61254,1.01958,0.55193,0.43505,0.49469,0.20433,2.39172,1.74193,2.10631,0.000682033,0.000682033,0.000682033
134,304.146,0.78609,0.60621,1.02793,0.79388,0.45136,0.49744,0.20613,2.39338,1.73909,2.15353,0.000676374,0.000676374,0.000676374
135,306.293,0.77246,0.59681,1.00042,0.60837,0.49253,0.47571,0.20466,2.36524,1.86781,2.14257,0.000670715,0.000670715,0.000670715
136,308.457,0.74842,0.5711,0.98916,0.51874,0.42584,0.42126,0.18836,2.37938,1.90771,2.12256,0.000665057,0.000665057,0.000665057
137,310.595,0.75784,0.60381,0.98954,0.35209,0.43062,0.37188,0.1696,2.39702,2.00057,2.15555,0.000659398,0.000659398,0.000659398
138,312.705,0.6928,0.55182,0.97359,0.51025,0.46038,0.41273,0.18252,2.47478,1.96552,2.1584,0.000653739,0.000653739,0.000653739
139,314.852,0.7616,0.59235,1.00067,0.56739,0.41806,0.43998,0.19008,2.50014,1.917,2.20756,0.00064808,0.00064808,0.00064808
140,317.033,0.72453,0.57652,0.97159,0.74068,0.36842,0.44092,0.21705,2.26129,2.06902,2.09138,0.000642421,0.000642421,0.000642421
141,319.17,0.67539,0.558,0.97334,0.72537,0.39213,0.46173,0.20168,2.21204,2.03748,2.06439,0.000636762,0.000636762,0.000636762
142,321.302,0.72908,0.55721,0.97948,0.67698,0.39872,0.47504,0.20953,2.25779,1.93771,2.07351,0.000631104,0.000631104,0.000631104
143,323.437,0.73266,0.54031,1.00444,0.55681,0.48644,0.46494,0.19422,2.27279,1.94393,2.06679,0.000625445,0.000625445,0.000625445
144,325.591,0.75822,0.60322,1.00064,0.43852,0.42492,0.3641,0.14761,2.59495,2.22889,2.3077,0.000619786,0.000619786,0.000619786
145,327.744,0.72066,0.58645,0.97875,0.53675,0.45223,0.43715,0.16422,2.56289,2.08071,2.31472,0.000614127,0.000614127,0.000614127
146,329.879,0.65765,0.52125,0.94764,0.58948,0.4386,0.43987,0.19548,2.60931,1.85759,2.36982,0.000608468,0.000608468,0.000608468
147,331.998,0.72941,0.59491,1.01987,0.65814,0.51468,0.46646,0.20461,2.59835,1.84074,2.41835,0.000602809,0.000602809,0.000602809
148,334.285,0.63748,0.50867,0.96571,0.43806,0.39075,0.39111,0.16966,2.51231,2.36403,2.30532,0.000597151,0.000597151,0.000597151
149,336.434,0.69693,0.57117,0.97034,0.46784,0.40829,0.41919,0.17711,2.54021,2.42149,2.36808,0.000591492,0.000591492,0.000591492
150,338.549,0.73926,0.56281,1.0006,0.42354,0.4701,0.39751,0.18319,2.45836,2.41486,2.32593,0.000585833,0.000585833,0.000585833
151,340.705,0.74214,0.57925,0.98622,0.42152,0.44338,0.42332,0.19309,2.29751,2.34009,2.21459,0.000580174,0.000580174,0.000580174
152,342.898,0.66107,0.54639,0.95989,0.68022,0.35566,0.43008,0.19148,2.31243,2.14693,2.24049,0.000574515,0.000574515,0.000574515
153,345.057,0.70307,0.56437,0.97662,0.67736,0.40829,0.4558,0.19598,2.41171,2.01366,2.39409,0.000568856,0.000568856,0.000568856
154,347.206,0.67454,0.536,0.9782,0.5986,0.39945,0.36478,0.1535,2.45524,2.17453,2.34928,0.000563197,0.000563197,0.000563197
